-75.1259198833	-6.5854982363	0.0488846377
-75.1259198833	-4.4400971464	0.0496812819
-75.1259198833	-2.2946960565	0.0517693131
-75.1259198833	-0.1492949665	0.0544753761
-75.1259198833	1.9961061234	0.0571261163
-75.1259198833	4.1415072134	0.0590481786
-75.1259198833	6.2869083033	0.0595682081
-71.3760479908	-6.5854982363	0.0472912963
-71.3760479908	-4.4400971464	0.0480634103
-71.3760479908	-2.2946960565	0.0500408473
-71.3760479908	-0.1492949665	0.0525460891
-71.3760479908	1.9961061234	0.0549016176
-71.3760479908	4.1415072134	0.0564299148
-71.3760479908	6.2869083033	0.0564534623
-67.6261760983	-6.5854982363	0.0452751877
-67.6261760983	-4.4400971464	0.0458513329
-67.6261760983	-2.2946960565	0.0474381921
-67.6261760983	-0.1492949665	0.0494659452
-67.6261760983	1.9961061234	0.0513647721
-67.6261760983	4.1415072134	0.0525648529
-67.6261760983	6.2869083033	0.0524963676
-63.8763042058	-6.5854982363	0.0427833123
-63.8763042058	-4.4400971464	0.0430662939
-63.8763042058	-2.2946960565	0.0440913655
-63.8763042058	-0.1492949665	0.0454702067
-63.8763042058	1.9961061234	0.0468144975
-63.8763042058	4.1415072134	0.0477359174
-63.8763042058	6.2869083033	0.0478461462
-60.1264323133	-6.5854982363	0.0397626706
-60.1264323133	-4.4400971464	0.0397295371
-60.1264323133	-2.2946960565	0.0401303851
-60.1264323133	-0.1492949665	0.0407941361
-60.1264323133	1.9961061234	0.0415497114
-60.1264323133	4.1415072134	0.0422260323
-60.1264323133	6.2869083033	0.0426520202
-56.3765604207	-6.5854982363	0.0361602631
-56.3765604207	-4.4400971464	0.0358623065
-56.3765604207	-2.2946960565	0.0356852690
-56.3765604207	-0.1492949665	0.0356729957
-56.3765604207	1.9961061234	0.0358693317
-56.3765604207	4.1415072134	0.0363181219
-56.3765604207	6.2869083033	0.0370632115
-52.6266885282	-6.5854982363	0.0319230903
-52.6266885282	-4.4400971464	0.0314858461
-52.6266885282	-2.2946960565	0.0308860349
-52.6266885282	-0.1492949665	0.0303420479
-52.6266885282	1.9961061234	0.0300722760
